ID,Position,Name,Score,Category,Price Symbol,Address,Zip,lat,lng,SubCategory,Name of the Dish,Description,Actual Price,Safety Rating
8440,7,A Pizza Mart (U-District),6.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5242 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Mozzarella Sticks,Ten pieces. With sauce.,12.99,Satisfactory
8440,7,A Pizza Mart (U-District),7.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5243 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Medium Pizza Special,,16.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),8.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5244 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Two Large Pizzas,,34.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),9.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5245 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Appetizers,Garlic Breadsticks,,6.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),10.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5246 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Appetizers,Cheese Breadsticks,,7.99,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Milk Shakes ,Made with premium ice cream and topped with whipped cream. ,5.18,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,The Grand SlamwichÂ®,"Scrambled eggs, sausage, bacon, ham and American cheese on potato bread grilled with a maple spice spread. Served with hash browns.  
",12.67,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Mozzarella Cheese Sticks,Eight golden-fried cheese sticks served with your choice of dipping sauce.,8.41,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Lumberjack SlamÂ®,"Buttermilk pancakes, grilled ham, bacon strips, sausage links, eggs,* hash browns and choice of bread",14.54,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Premium Chicken Tenders,5 Premium golden-fried chicken tenderloins with choice of dipping sauce.  ,9.76,Unsatisfactory
